validator_name,sum_votes_by_prep,prep_ranking,60_days,90_days
ICON Foundation,49031645.26771052,1,25971664.07222837,22420680.72758944
ICX_Station,20584555.91530126,2,7940347.84601383,5793059.799395415
VELIC,18857961.89423002,3,5773348.62425531,4346714.898386207
ICONation,14674381.881312063,4,3983907.2439137585,2314829.5877423855
Ubik Capital,14327589.191032704,5,5267057.608689149,3080001.664869009
RHIZOME,12620991.010477083,6,3448464.1971649574,1859594.7867043468
ICON Hyperconnect,12317383.828236952,7,1219723.7703423332,485340.86392308795
ICONbet Community,10186988.925225975,8,1322366.0113649466,1070942.0605261836
Symmetry SLC,9025859.03888017,9,7844398.341539931,7617416.882271281
NEOPLY,8612525.8445809,10,7895969.8225722145,3138.7965000000004
Stakin,7886809.537751622,11,2790355.4754870953,922109.6417647094
Mineable,7155087.970399975,12,2162228.7954981406,1356520.0807948092
weBloc asia,6430959.231433701,13,2990920.009690712,1977485.9377457614
ICON DAO,6234046.174706449,14,3853927.870711753,1606580.856165023
Everstake,6082172.009466649,15,2689080.791767362,2381490.388981108
ReliantNode,5620698.061409681,16,1625252.8768025977,1434666.8058160841
ICONPLUS,5448217.0025618365,17,539174.6556056914,429450.2734146945
Staky.io (ex Sharpn),5327279.010785776,18,648176.407444941,477971.5786524867
block42,5195774.1125246305,19,2410729.75432047,546183.6751072697
iBriz - ICONOsphere,5194471.022627142,20,1808641.747670012,1687635.1495168682
ICONVIET,5178447.317709395,21,1161210.5059252882,876509.4130504332
ICON Pinas (Pilipinas),4478738.954208931,22,310158.1148066866,269452.55625592225
PARROT9,4380113.16915171,23,1356650.3030180214,1229973.7174848553
Citadel.one,3752111.5885792095,24,998448.3170485017,643530.1997726928
Blockmove,3480199.121954052,25,1018646.0234086988,344187.99408645654
InterBlock,3132803.5430701715,26,1761939.2610044568,1715285.0019999992
Deblock with STAYGE,3001228.0963091427,27,1698967.5194291133,651178.8445735583
Catalyst,2727646.747653565,28,83533.78717725031,44454.91295723204
ICON Forge,2621319.5048018605,29,1124201.116733881,1060184.2475999997
ICONologist,2333306.1007616688,30,668915.6510653392,87016.05980442301
ICONTROL,2085209.8561300156,31,1454317.1940000004,154810.4513
Transform Group,2081243.349692459,32,545154.6344394499,0.0
Insight,2060432.6559385236,33,191011.6171047487,116034.1396752782
Bara-Node,1920905.4196270187,34,15832.30144172,15560.130997999999
Midos,1868718.1143054336,35,270001.36725316924,13568.939400000001
Orangebloc,1778583.0583984633,36,1767126.4778999998,1763994.7909
MinerGate,1719605.5247728212,37,1450686.7882941451,1410878.6598260493
ICONoscope,1698776.0785016336,38,25451.732275440307,13977.584175440308
MouseBelt | Multi.io,1644103.356285362,39,1191355.167867519,1050127.290367519
Hourglass,1576305.5147754264,40,1568796.9230665497,1565184.4438999998
Foundry Box Media,1565454.9221042811,41,327352.9274905231,265041.37799999997
Cardinal,1554390.7564458114,42,1488134.4390259997,1485446.4455999997
ICON Sweden,1544989.9957726656,43,1046763.8732563603,665650.2109166043
StakingTeam,1456900.7198013538,44,352452.1401919367,92880.25449193695
DEMOS,1357277.971901742,45,722721.1269999999,705797.4111999999
Transcranial Solutions,1323864.0000073053,46,106213.51410401445,97687.65899999999
OneLife 9to5,1267118.9496185933,47,11992.343790004796,10639.9177
Danal,1153811.1986760064,48,0.0,0.0
Silicon Valley ICON,1055791.025264052,49,188233.21163755088,153625.39265610988
Newroad,1017844.4609941124,50,361699.00565243274,316686.5506524327
Metanyx,933373.0631805715,51,565625.3705083663,526571.2894378512
ICONNECT-Global,928283.9912612048,52,706559.4945596149,698193.2101242453
Chainode Tech,916385.8258878846,53,211024.3123882976,186397.8055882976
ICX_Stratos,888067.3303194119,54,792720.5010975804,792577.3728975804
Blockchain at Berkeley,868311.6720819774,55,340135.7901059154,285734.7848895622
ICON Labs,826729.1631301618,56,316899.2313281208,81170.25883399969
ICX Australia,819859.3275529859,57,425461.4371425847,286047.0073494243
RHYTHM (Australia),810910.8746170308,58,338456.0871047276,23018.140604727494
Piconbello { You Pick We Build },788581.5609288968,59,99413.98413921171,68327.91306815654
HOLA ICON,787206.0932311125,60,212033.25196226506,92678.27398226505
Alice,780255.6397912528,61,11805.462673900003,6940.529373900001
ICON Russia,751825.9910171077,62,94627.80673254725,90838.47692668674
ICX Belgium,743277.5798436697,63,55324.69702198928,36479.14369587861
iconic innovation,707371.4520413136,64,471718.34917082195,65499.85447082185
Progression,687032.812907963,65,30335.9532,28373.9708
Signal9,666760.2539903498,66,171135.2674763003,138039.74930325686
Iconserve,652969.1146843716,67,30458.424169685484,10408.283405550288
ICON Chicago,637558.9753608205,68,48740.45530324317,34793.33737200001
The Iconist,636470.8071548103,69,183974.33796868112,65704.7554756989
Hermes Greece,573205.8405073431,70,42566.643800158396,40969.021100158396
POCKET / FIGMENT,551047.129616987,71,346235.75085000007,297335.34189999994
ICON4Education,537983.6685171988,72,26620.933325623486,6388.8757583577435
ICX Malta,521452.0046239682,73,16826.27299293368,6318.91409293368
ICON Spark,520541.8258413533,74,16363.454950498945,10480.829350498943
Espanicon,470716.91369509563,75,118990.35016420214,108731.80600000003
Blockheads Development,464428.29809445265,76,218752.99810763114,194971.5468541503
UNBLOCK {ICX GROWTH INCUBATOR},441178.4546666294,77,132250.5976876547,67184.8044
ICON USA,439573.86313488556,78,35112.649491705444,14511.022380839646
ICON Thailand,431466.42871155986,79,43449.43677612424,35446.47426825472
ICON Oasis,416300.0246528693,80,18871.369458558012,11562.05566398859
DRAICON BALL,404759.14690686174,81,273163.250288224,265839.26638822403
ICON-NYC,399555.6847414133,82,16144.856951280091,3447.0375512800924
Wetez,395261.31159047614,83,383102.6803904762,7493.032190476121
ICON London,341186.56672260456,84,84397.11196002991,44565.650525222096
ICONSG,332742.6226261988,85,2094.0622,767.7771
Staked,318463.18049992336,86,188488.78152460302,179269.50986837965
ICONLEO,318008.5596094658,87,17128.026394584544,4937.8075
Plan-P,311448.24565839826,88,15014.381895628687,6886.753362217661
GagarinCrypto,311248.58619999996,89,117046.0201,100982.016
DSNC,306989.65678353474,90,31129.0956568144,29057.2764
Staked Tech,306460.48908060417,91,71045.54840913907,66372.36779999999
ICON Guide Star,290624.10603137984,92,27493.927900000002,23965.8858
Icon-4-Business,288775.0356132742,93,71245.67146647889,65645.75544286639
ICON Econ,270814.90955183684,94,243792.29286227934,236633.6188622793
Sunrise,249611.830578025,95,11199.235799999995,8623.610299999998
icon-node-NL,247520.4687497611,96,13983.683373237014,10758.113527822636
Sicko Node,235882.74862387968,97,164866.1411,1420.0864
Sesameseed,227113.31023112472,98,7366.498594696253,418.77551534554897
DELIGHT,221362.33949587285,99,127973.11500000002,67284.61349999999
Frontlines Media,217247.9373989209,100,173516.8885,169914.4305
ICON BOOM,207914.05504017114,101,18571.66440870071,17683.97168584466
Yudus Lab,189605.53230334277,102,184618.6989,184016.9407
RemICX,177111.30545479085,103,3687.4043025900296,649.115
Icon Panda,168944.23972643775,104,96828.68158862097,96174.01848862096
HypoICON,163302.54662060022,105,19126.3945410366,1692.0877310366009
ICX FREEZER,156471.82182349177,106,94207.46759999999,89341.2286
InfStones,140614.4671852482,107,122694.32640000003,110817.71240000003
Gilga Capital (NEW - LETS GROW ICON),128314.57698974576,108,32646.6722,25000.4951
loop57,116365.9613064243,109,84824.90524943123,82887.64263050811
ICXmerch,99298.3920569966,110,5544.65783654458,3707.5545283297524
A_Block,93061.35916935035,111,32111.496170738756,3133.7797042387547
X-node,73319.19553386414,112,15314.267288926101,7417.658586934074
FOCUS,69109.3197055774,113,49072.9009,42476.235199999996
ICONIST VOTE WISELY - twitter.com/info_prep,54137.54166719486,114,34926.61894459328,34926.61894459328
iccc node,47810.80134608289,115,4822.098096200337,4284.1121774205585
manifest-icon,46627.08227931695,116,12497.155171833512,6006.098771833512
FOMO MASTERNODE,42909.476146430476,117,16986.240069055257,9335.998479514816
DFG Crypto,34882.6028,118,4913.733399999999,596.3697
Nodeasy.com,34862.720000383364,119,3072.232587208673,616.7569872086726
neo_icon,34490.17931558076,120,8630.6404,3525.6111000000005
HASHRATE PLUS,31379.534724429912,121,7269.4217,5088.465899999998
Xangle,27408.32433424742,122,8066.4563,6882.7586
MW node,26970.3141,123,17313.973,7090.4181
Noris [New Node],24936.555799999995,124,9299.8727,4145.8814
Azabu Research,23962.707307999997,125,7802.947408000001,5974.791308000001
Bit Cat,22971.599306240954,126,3640.9416398152684,1360.0342398152682
IFnLIFE,19986.958519833588,127,5566.7516,2892.6823
PakChina,17569.4359,128,5154.1516,3928.4786
nel node,15667.904432238156,129,4201.688700000001,3863.4152000000004
Common Computer Online,14434.236097933548,130,1920.9267,1678.6784
Cobo ICON,11342.738560682285,131,1056.2418349189757,769.4721349189756
mirai,4721.7364511758,132,3511.4680000000003,1311.4801
OZYS node,4232.0647,133,0.0,0.0
