Users,Preps,Reasons
@tonoplast,@IconbetP,"First DAO on ICON, great community, produces the highest transactions on ICON network"
@CryptoDoctorMD,@IconbetP,Awesome teams who are working tirelessly for the good of the many and the ICON ecosystem.
@CryptoDoctorMD,@PREP_ICONPLUS,Awesome teams who are working tirelessly for the good of the many and the ICON ecosystem.
@tonoplast,@IconPilipinas,"Great community, responsible for many new wallets created, great outreach"
@husos,@RhizomeICX,i like his way to keep us informed.
@casinillojay,@IconPilipinas,"Coz everyone is welcome. There's always new events, contest and quizzes. We always have fun at same time we learn new things. And most of all, its like my 2nd home, we treat each other like a family."
@animatedAD,@IconbetP,"For nice dApps, biggest TXs on the chain, contests, prizes, great and big community. All funds from P-Rep  rewards goes to grow platform."
@Povilas71115651,@ReliantNode,they all doing great things and projects. Just like them!
@Povilas71115651,@IconPilipinas,they all doing great things and projects. Just like them!
@Povilas71115651,@RhizomeICX,they all doing great things and projects. Just like them!
@Povilas71115651,@PREP_ICONPLUS,they all doing great things and projects. Just like them!
@PhilipVillania,@IconPilipinas,They were very active in promoting ICON not just in the Philippines but also in other countries as well! They also create videos about ICON called ICX News Ngayon check them out on their youtube channel. You can also check ICON Pilipinas telegram group you will see that the community is active there. Thats why they were one of the top groups in the Philippines!! Come join us and lets continue increasing the community members of ICON Network.
@PhilipVillania,@IconbetP,They have new update to Iconbet called Iconbet 2.0 where they introduced a new game called DaoLevels. They also updated the User Interface of the site and they also introduced TAP Tokens staking! Cant wait to try more new games from ICONBet.
@PhilipVillania,@ReliantNode,They were one of the most hardworking i know. They recently released Marvelous Gift Cards where each ICONists can share $ICX with each other by giving gift cards. Keep up the good work @ReliantNode cant wait to try more projects from your team!
@PhilipVillania,@IconMidos,"They have recently launched FutureICX, My experience with the dapp was great, It has a great UI and clearly it was carefully planned and developed. They also update us with the news about FutureICX(especially @coreycosta123)"
@PhilipVillania,@TranscranialSol,"They were one of the best P-reps in analyzing data on the Icon Network. Their medium articles is worth a read and they update everyday. Their data analysis is clear, informative and easy to understand that can be used by every Iconists."
@PhilipVillania,@sharpntech,Their site where you can learn to code smart contracts and IRC-2 token for the Icon Network was informative. I would like to wait for the release of more tutorial lessons. Hopefully it will be released soon.
@mikestonia,@IconbetP,"Hands down the greatest community in crypto, everyone can be a true owner of a casino and receive daily ICX dividends (alot more than staking rewards)!"
@mikestonia,@RhizomeICX,Best marketing content and analysis on ICON ecosystem! MetriCX - must have app for ICX owner!
@Ramle13747634,@IconPilipinas,"We are having so much time encouraging and reaching people to the ICON NETWORK! We have a good community, awesome events and games. Check out our telegram group @icon_pilipinas. And another thing is Icon Pilipinas is conducting an event called Icon TikTok Battle! Posting videos about ICON in TIKTOK..!  Going beyond the limits <3 to share the news about ICON NETWORK!"
@Storestam,@IconMidos,"@nblaze4  is full of energy even tho he doesn't sleep, a true doer. 
@coreycosta123  is the marketing machine from another galaxy. Oh and http://futureicx.io is pretty neat. 😅😎"
@Hitizor,@RhizomeICX,"
 because of their metricx app.. "
@Hitizor,@ICONForge,because i really wanna see that NFT game..
@Hitizor,@IconbetP,well i love some gambling…
@ey_el_e_eks,@IconPilipinas,"They are the reason why I love ICON. This team is recommended for everyone specially for newbies in crypto world. No one is being left behind, we always win as oneFlag of Philippines ""Let's win not whine, Power Icon Pilipinas""

+Good job to all p-reps for making icon great."
@cryptoborgfa,@mineable,@mineable is a legend. He creates very detailed and professional videos with the latest info from the @helloiconworld. I haven't see anything even closer to such excellence.
@cryptoborgfa,@ReliantNode, I also just started to vote for @ReliantNode  I am so thrilled about the $icx debit card. Let's go #ICON
@bud1ser,@ICONDAO,@ICONDAO for sure! They've built a really nice platform and are interacting with the community on a daily basis and hosting ICX giveaways also for members! :) All my votes are delegated to ICON DAO.
@Josephliow,@ReliantNode,"@ReliantNode  is always building high quality products. I’m most excited for the upcoming “Stash” project, which will allow users to earn $ICX when shopping online. They also plan to release a ICON debit card. Probably one of the most underrated P-Reps out there!"
@Josephliow,@ICONForge,@ICONForge  is also another up and coming P-Rep! They’re currently working on a collectible strategy game called Project Nebula. Probably one of the most exciting and unique game to come out of the ICON ecosystem! Check out their account for some teasers!
@Jim_encrypted,@ReliantNode,I use a ledger with their app to compund rewards 
@Jim_encrypted,@parrot9design,"#sexy UI on @BalancedDAO
 "
@Jim_encrypted,@mineable,reaches audiences outside of South Korea  
@Jim_encrypted,@RhizomeICX,great p rep still use their app tracker even though their monthly reward estimate graph dont work
@LordUtxo,@IconPilipinas,"They have the strongest community that binds the belief of ICX becoming the number #1 crypto in Asia by working hard to promote and educate the masses with their youtube chanel, telegram chanel ,facebook ,twitter ba wise strategy."
@Charlotte9o,@IconPilipinas,"This is the more engaging community of ICON I have ever join. We do conduct quizzes,games,trivias about Icon, not just giving fun but educating every members about what's more with ICON. They are giving other P-Reps highlights too not only theirs."
@blacksiren11,@IconPilipinas,-
@PrimoTurbo,@iconosphereprep,"Reasons: Silent but deadly
-Tip tap bot : done 
-Opendev icon : in progress
-Balanced dao : in progress
-Icon cps : in progress
 Even more projects to come Exploding head
Bonus: dedicated to build on the icon chain no matter what Flexed biceps"
@Iwilldoit618,@IconPilipinas,Icon pilipinas is a community which helps to learn us about crypto and many things there and there will be many events to earn icx …
@ClickbotsT,@IconPilipinas,"THE BEST !!!!!
Because they provide the best learning when it comes to ICON and community is always active , specially there are no  negative vibes always positive,
Provides latest updates , have a lot of fun stuffs , events and giveaways . So proud be ICONIST! Sir Jay Ma'am Jenny and Grace And Quiz master Rose"
@Bitether1,@mineable,Brilliant and accurate educational videos and content relating to the #Icon #ICX ecosystem
