selectDates,balanceCounts,totalCounts,annual_real_yield_list,annual_reward_list,annual_inflation_list
 1/7, 124473, 372716, 14.05, 19.41, 8.61
 1/8, 124970, 374110, 14.0, 19.36, 8.61
 1/9, 125498, 375635, 13.96, 19.32, 8.61
 1/10, 125949, 376958, 13.91, 19.27, 8.64
 1/11, 126428, 378301, 13.9, 19.26, 8.81
 1/12, 126860, 379664, 13.87, 19.23, 8.76
 1/13, 127038, 380227, 13.84, 19.2, 4.11
 1/15, 128145, 383167, 13.84, 19.2, 10.04
 1/16, 128519, 384349, 13.8, 19.16, 10.03
 1/17, 128917, 385563, 13.76, 19.12, 8.53
 1/18, 129368, 386959, 13.72, 19.08, 8.8
 1/19, 129777, 388325, 13.7, 19.06, 8.72
 1/20, 130097, 389415, 13.69, 19.05, 8.77
 1/21, 130513, 390664, 13.66, 19.02, 8.79
 1/22, 130887, 391665, 13.54, 18.9, 8.81
 1/23, 131336, 392480, 13.51, 18.87, 8.79
 1/24, 131823, 392947, 13.48, 18.84, 8.8
 1/25, 132277, 393381, 13.42, 18.78, 8.8
 1/26, 132869, 393955, 13.39, 18.75, 8.81
 1/27, 133451, 394555, 13.35, 18.71, 8.82
 1/28, 133691, 394810, 13.19, 18.55, 8.84
 1/29, 134497, 399490, 13.14, 18.5, 8.83
 1/30, 135020, 400969, 13.13, 18.49, 8.79
 1/31, 135644, 402292, 13.07, 18.43, 8.67
 2/1, 136379, 403718, 13.07, 18.43, 8.83
 2/2, 137037, 405274, 13.04, 18.4, 8.55
 2/3, 137713, 406715, 13.03, 18.39, 8.5
 2/4, 138488, 408578, 12.95, 18.31, 8.75
 2/5, 139270, 410150, 13.2, 18.56, 8.73
 2/6, 139660, 411483, 13.26, 18.62, 8.62
 2/7, 140686, 413172, 13.24, 18.6, 8.63
 2/8, 141582, 414754, 13.19, 18.55, 8.61
 2/9, 142312, 416153, 13.14, 18.5, 8.62
 2/10, 142899, 417290, 13.11, 18.47, 8.71
 2/11, 143478, 418413, 13.08, 18.44, 8.61
 2/12, 144041, 419504, 13.02, 18.38, 8.55
 2/13, 144556, 420594, 12.99, 18.35, 8.73
 2/14, 145199, 421791, 12.95, 18.31, 8.65
 2/15, 145883, 423093, 13.1, 18.46, 8.69
 2/16, 146477, 424293, 13.11, 18.47, 8.68
 2/17, 147013, 425370, 13.07, 18.43, 8.59
 2/18, 147498, 426428, 13.03, 18.39, 8.55
 2/19, 148041, 427503, 13.0, 18.36, 8.58
 2/20, 148644, 428648, 12.97, 18.33, 8.41
 2/21, 149188, 429735, 12.94, 18.3, 8.56
 2/22, 149784, 430869, 12.89, 18.25, 8.37
 2/23, 150378, 432045, 12.86, 18.22, 8.17
 2/24, 150882, 433849, 12.82, 18.18, 8.43
 2/25, 151378, 434811, 12.76, 18.12, 8.13
 2/26, 151925, 435929, 12.7, 18.06, 8.37
 2/27, 152431, 436962, 12.65, 18.01, 8.31
 2/28, 152952, 437935, 12.59, 17.95, 8.31
 2/29, 153720, 439309, 12.58, 17.94, 8.16
 3/1, 154441, 440595, 12.57, 17.93, 8.25
 3/2, 155077, 441725, 12.51, 17.87, 8.27
 3/3, 155664, 442855, 12.56, 17.92, 8.15
 3/4, 156289, 443926, 12.54, 17.9, 8.25
 3/5, 156961, 445141, 12.5, 17.86, 8.23
 3/6, 157663, 446368, 12.5, 17.86, 8.22
 3/7, 158301, 447539, 12.41, 17.77, 8.24
 3/8, 158887, 448664, 12.36, 17.72, 8.25
 3/9, 159445, 449765, 12.31, 17.67, 8.26
 3/10, 160077, 450985, 12.33, 17.69, 8.16
 3/11, 160730, 452165, 12.29, 17.65, 8.24
 3/12, 161352, 453352, 12.28, 17.64, 8.25
 3/13, 161958, 454555, 12.22, 17.58, 8.18
 3/14, 162631, 455896, 12.1, 17.46, 8.35
 3/15, 163298, 457140, 12.07, 17.43, 8.45
 3/16, 163986, 458394, 12.06, 17.42, 8.49
 3/17, 164794, 459741, 11.91, 17.27, 8.37
 3/18, 165528, 461140, 11.93, 17.29, 8.5
 3/19, 166285, 462475, 11.96, 17.32, 8.47
 3/20, 167066, 463860, 11.95, 17.31, 8.49
 3/21, 167851, 465266, 11.91, 17.27, 8.4
 3/22, 168677, 466723, 11.89, 17.25, 8.5
 3/23, 169469, 468068, 11.86, 17.22, 8.49
 3/24, 170251, 469589, 11.79, 17.15, 8.51
 3/25, 171092, 471120, 11.74, 17.1, 8.43
 3/26, 171844, 472606, 11.7, 17.06, 8.51
 3/27, 172624, 474016, 11.64, 17.0, 8.52
 3/28, 173290, 475139, 11.61, 16.97, 8.35
 3/29, 173761, 475903, 11.59, 16.95, 8.46
 3/30, 176000, 479395, 11.55, 16.91, 8.44
 3/31, 177996, 482115, 11.56, 16.92, 8.4
 4/1, 179612, 484469, 11.5, 16.86, 8.41
 4/2, 181212, 486948, 11.5, 16.86, 8.54
 4/3, 182799, 489358, 11.49, 16.85, 8.46
 4/4, 184447, 491860, 11.47, 16.83, 8.54
 4/5, 185931, 494224, 11.44, 16.8, 8.53
 4/6, 187527, 496774, 11.41, 16.77, 8.55
 4/7, 189175, 499216, 11.37, 16.73, 8.55
 4/8, 190564, 501429, 11.37, 16.73, 8.56
 4/9, 191971, 503569, 11.39, 16.75, 8.5
 4/10, 193517, 505980, 11.36, 16.72, 8.57
 4/11, 195343, 508676, 11.33, 16.69, 8.51
 4/12, 196988, 511225, 11.3, 16.66, 8.62
 4/13, 198602, 513597, 11.22, 16.58, 8.61
 4/14, 200244, 516128, 11.15, 16.51, 8.64
 4/15, 201691, 518475, 11.13, 16.49, 8.63
 4/16, 203260, 520786, 11.08, 16.44, 8.51
 4/17, 204691, 522924, 11.05, 16.41, 8.57
 4/18, 206110, 524944, 11.05, 16.41, 8.58
 4/19, 207443, 526890, 11.05, 16.41, 8.58
 4/20, 208699, 528791, 11.03, 16.39, 8.55
 4/21, 209896, 530626, 11.01, 16.37, 8.54
 4/22, 211128, 532450, 10.99, 16.35, 8.52
 4/23, 212282, 534159, 10.98, 16.34, 8.58
 4/24, 213614, 536062, 11.03, 16.39, 8.6
 4/25, 215019, 538117, 11.02, 16.38, 8.58
 4/26, 216405, 540137, 10.98, 16.34, 8.58
 4/27, 217832, 542266, 10.98, 16.34, 8.6
 4/28, 219218, 544215, 10.97, 16.33, 8.55
 4/29, 220565, 546133, 10.96, 16.32, 8.58
 4/30, 221996, 548120, 10.9, 16.26, 8.5
 5/1, 223361, 550086, 10.85, 16.21, 8.61
 5/2, 224714, 552151, 10.82, 16.18, 8.58
 5/3, 226032, 554149, 10.82, 16.18, 8.62
 5/4, 227273, 556084, 10.81, 16.17, 8.59
 5/5, 228472, 557995, 10.79, 16.15, 8.59
 5/6, 229816, 559955, 10.78, 16.14, 8.55
 5/7, 231012, 561741, 10.76, 16.12, 8.58
 5/8, 232305, 563605, 10.74, 16.1, 8.52
 5/9, 233827, 565658, 10.74, 16.1, 8.47
 5/10, 235048, 567339, 10.74, 16.1, 8.42
 5/11, 236232, 569098, 10.72, 16.08, 8.37
 5/12, 237537, 570947, 10.68, 16.04, 8.23
 5/13, 238902, 572911, 10.65, 16.01, 8.24
 5/14, 240351, 574790, 10.65, 16.01, 8.23
 5/15, 242291, 577210, 10.6, 15.96, 8.21
 5/16, 243909, 579269, 8.9, 14.26, 8.38
 5/17, 245282, 581108, 8.88, 14.24, 8.23
 5/18, 246700, 583094, 8.88, 14.24, 8.26
 5/19, 248088, 585033, 8.96, 14.32, 8.25
 5/20, 249590, 587111, 8.96, 14.32, 8.23
 5/21, 251071, 589262, 8.96, 14.32, 8.17
 5/22, 252587, 591373, 8.97, 14.33, 8.14
 5/23, 254148, 593577, 8.95, 14.31, 8.07
 5/24, 255702, 595693, 8.94, 14.3, 8.04
 5/25, 257174, 597752, 8.94, 14.3, 8.05
 5/26, 258757, 599891, 8.92, 14.28, 8.07
 5/27, 260070, 601742, 8.92, 14.28, 7.96
 5/28, 261488, 603745, 8.83, 14.19, 8.05
 5/29, 262967, 605767, 8.78, 14.14, 7.93
 5/30, 264513, 607863, 8.78, 14.14, 7.73
 5/31, 265890, 609818, 8.78, 14.14, 7.39
 6/1, 267285, 611760, 8.76, 14.12, 7.22
 6/2, 268668, 613646, 8.81, 14.17, 7.08
 6/3, 270056, 615615, 8.79, 14.15, 6.99
 6/4, 271377, 617452, 8.77, 14.13, 6.81
 6/5, 272757, 619402, 8.76, 14.12, 6.6
 6/6, 274311, 621534, 8.73, 14.09, 6.43
 6/7, 275826, 623595, 8.73, 14.09, 6.3
 6/8, 277194, 625602, 8.72, 14.08, 6.22
 6/9, 278634, 627883, 8.67, 14.03, 6.16
 6/10, 280112, 629984, 8.64, 14.0, 6.1
 6/11, 281545, 632021, 8.62, 13.98, 6.06
 6/12, 283030, 634027, 8.63, 13.99, 6.05
 6/13, 284633, 636224, 8.62, 13.98, 6.03
 6/14, 285983, 638114, 8.62, 13.98, 5.98
 6/15, 285789, 640069, 8.61, 13.97, 6.0
 6/16, 287091, 641992, 8.61, 13.97, 5.92
 6/17, 288302, 643945, 8.59, 13.95, 6.01
 6/18, 289523, 645849, 8.54, 13.9, 5.98
 6/19, 290709, 647644, 8.55, 13.91, 5.9
 6/20, 292099, 649648, 8.54, 13.9, 5.98
 6/21, 293324, 651379, 8.55, 13.91, 5.97
 6/22, 294549, 653140, 8.53, 13.89, 5.97
 6/23, 295815, 654966, 8.53, 13.89, 5.97
 6/24, 296961, 656615, 8.52, 13.88, 5.97
 6/25, 298079, 658823, 8.51, 13.87, 5.97
 6/26, 299306, 660546, 8.5, 13.86, 5.96
 6/27, 300699, 662373, 8.48, 13.84, 5.96
 6/28, 301924, 664049, 8.46, 13.82, 5.97
 6/29, 303159, 665681, 8.46, 13.82, 5.96
 6/30, 304555, 667354, 8.44, 13.8, 5.96
 7/1, 305744, 669021, 8.4, 13.76, 5.93
 7/2, 307028, 670857, 8.4, 13.76, 5.95
 7/3, 308347, 672643, 8.39, 13.75, 5.91
 7/4, 309878, 674669, 8.38, 13.74, 5.93
 7/5, 311264, 676534, 8.4, 13.76, 5.94
 7/6, 312512, 678293, 8.39, 13.75, 5.94
 7/7, 313810, 680037, 8.36, 13.72, 5.93
 7/8, 315159, 681981, 8.33, 13.69, 5.94
 7/9, 312854, 683273, 8.34, 13.7, 5.93
 7/10, 310014, 684522, 8.26, 13.62, 5.95
 7/11, 308100, 685636, 8.25, 13.61, 5.78
 7/12, 307129, 686821, 8.26, 13.62, 5.94
 7/13, 306237, 687994, 8.25, 13.61, 5.92
 7/14, 305666, 689256, 8.26, 13.62, 5.93
 7/15, 305153, 690566, 8.25, 13.61, 5.92
 7/16, 304715, 691679, 8.22, 13.58, 5.93
 7/17, 304490, 692778, 8.18, 13.54, 5.93
 7/18, 304168, 693882, 8.2, 13.56, 5.93
 7/19, 304095, 694961, 8.19, 13.55, 5.93
 7/20, 304074, 696179, 8.19, 13.55, 5.94
 7/21, 304000, 697203, 8.2, 13.56, 5.92
 7/22, 304051, 698295, 8.19, 13.55, 5.89
 7/23, 304032, 699281, 8.2, 13.56, 5.83
 7/24, 304091, 700299, 8.19, 13.55, 5.92
 7/25, 304197, 701306, 8.19, 13.55, 5.64
 7/26, 304280, 701835, 8.21, 13.57, 5.91
 7/27, 303060, 703218, 8.22, 13.58, 3.38
 7/28, 303216, 704258, 8.22, 13.58, 8.49
 7/29, 303329, 705243, 8.25, 13.61, 5.94
 7/30, 303361, 705966, 8.26, 13.62, 5.95
 7/31, 303178, 706638, 8.22, 13.58, 5.96
 8/1, 303112, 707289, 8.23, 13.59, 5.95
 8/2, 302942, 707625, 8.23, 13.59, 5.88
 8/3, 302886, 708130, 8.16, 13.52, 5.97
 8/4, 303625, 710235, 8.11, 13.47, 5.99
 8/5, 304268, 712053, 8.09, 13.45, 5.99
 8/6, 304599, 713076, 7.61, 12.97, 6.05
 8/7, 304758, 713965, 7.58, 12.94, 6.01
 8/8, 304459, 714142, 7.57, 12.93, 5.9
 8/9, 304341, 714344, 7.57, 12.93, 5.9
 8/10, 304222, 714608, 7.53, 12.89, 5.9
 8/11, 304169, 714883, 7.53, 12.89, 5.89
 8/12, 304134, 715149, 7.51, 12.87, 5.88
 8/13, 304025, 715426, 7.52, 12.88, 5.89
 8/14, 303958, 715745, 8.21, 13.57, 5.89
 8/15, 303857, 716116, 8.25, 13.61, 5.93
 8/16, 303781, 716403, 8.25, 13.61, 5.93
 8/17, 303758, 716695, 8.23, 13.59, 5.93
 8/18, 303738, 716989, 8.18, 13.54, 5.94
 8/19, 303644, 717254, 8.23, 13.59, 5.93
 8/20, 308407, 726980, 8.18, 13.54, 5.92
 8/21, 309076, 728626, 8.17, 13.53, 5.91
 8/22, 309479, 729896, 8.23, 13.59, 5.92
 8/23, 309894, 731015, 8.29, 13.65, 5.92
 8/24, 310236, 732082, 8.32, 13.68, 5.71
 8/25, 310505, 733062, 8.31, 13.67, 5.9
 8/26, 310832, 734050, 8.28, 13.64, 5.9
 8/27, 311247, 735036, 8.24, 13.6, 5.92
 8/28, 311518, 735930, 8.23, 13.59, 5.83
 8/29, 311777, 736930, 8.21, 13.57, 5.93
 8/30, 312145, 737939, 8.1, 13.46, 5.95
 8/31, 312487, 738963, 8.06, 13.42, 5.89
 9/1, 312821, 739947, 8.0, 13.36, 5.93
 9/2, 313144, 740854, 7.96, 13.32, 5.91
 9/3, 313507, 741795, 7.92, 13.28, 5.92
 9/4, 313811, 742738, 7.86, 13.22, 5.93
 9/5, 314089, 743701, 7.77, 13.13, 5.92
 9/6, 314412, 744605, 7.75, 13.11, 5.93
 9/7, 314741, 745459, 7.73, 13.09, 5.89
 9/8, 315018, 746341, 7.71, 13.07, 5.9
 9/9, 315409, 747395, 7.7, 13.06, 5.83
 9/10, 315705, 748276, 7.69, 13.05, 5.79
 9/11, 316014, 749336, 7.62, 12.98, 5.91
 9/12, 316253, 750624, 7.6, 12.96, 5.9
 9/13, 316677, 751530, 7.57, 12.93, 5.9
 9/14, 316955, 752426, 7.58, 12.94, 5.89
 9/15, 317407, 753443, 7.57, 12.93, 5.9
 9/16, 317784, 754280, 7.54, 12.9, 5.9
 9/17, 318106, 755173, 7.51, 12.87, 5.89
 9/18, 318958, 756069, 7.51, 12.87, 5.89
 9/19, 319276, 756918, 7.5, 12.86, 5.87
 9/20, 319628, 757740, 7.5, 12.86, 5.89
 9/21, 319999, 758647, 7.5, 12.86, 5.89
 9/22, 320330, 759505, 7.47, 12.83, 5.88
 9/23, 320476, 760257, 7.48, 12.84, 5.88
 9/24, 320752, 761122, 7.47, 12.83, 5.88
 9/25, 321041, 761905, 7.5, 12.86, 5.78
 9/26, 321232, 762667, 7.48, 12.84, 5.88
 9/27, 321536, 763460, 7.47, 12.83, 5.87
 9/28, 322191, 765055, 7.45, 12.81, 5.89
 9/29, 322799, 766672, 7.44, 12.8, 5.88
 9/30, 322938, 767442, 7.41, 12.77, 5.88
 10/1, 323223, 768202, 7.39, 12.75, 5.89
 10/2, 323524, 769028, 7.38, 12.74, 5.87
 10/3, 323798, 769858, 7.38, 12.74, 5.88
 10/4, 324121, 770678, 7.38, 12.74, 5.88
 10/5, 324432, 771502, 7.36, 12.72, 5.89
 10/6, 324777, 772339, 7.36, 12.72, 5.88
 10/7, 325110, 773141, 7.34, 12.7, 5.88
 10/8, 325450, 773925, 7.32, 12.68, 5.85
 10/9, 325748, 774714, 7.32, 12.68, 5.87
 10/10, 326023, 775483, 7.33, 12.69, 5.87
 10/11, 326312, 776244, 7.34, 12.7, 5.88
 10/12, 326565, 777101, 7.32, 12.68, 5.87
 10/13, 326944, 778020, 7.31, 12.67, 5.86
 10/14, 327404, 778915, 7.46, 12.82, 5.81
 10/15, 327663, 779749, 7.43, 12.79, 5.84
 10/16, 327991, 780615, 7.42, 12.78, 5.88
 10/17, 328394, 781487, 7.44, 12.8, 5.89
 10/18, 328764, 782310, 7.43, 12.79, 5.88
 10/19, 329181, 783245, 7.44, 12.8, 5.89
 10/20, 329529, 784133, 7.42, 12.78, 5.89
 10/21, 329881, 784965, 7.42, 12.78, 5.89
 10/22, 330231, 785810, 7.4, 12.76, 5.87
 10/23, 330584, 786676, 7.37, 12.73, 5.88
 10/24, 330911, 787518, 7.37, 12.73, 5.88
 10/25, 331258, 788333, 7.35, 12.71, 5.88
 10/26, 331640, 789185, 7.36, 12.72, 5.87
 10/27, 332037, 790129, 7.37, 12.73, 5.88
 10/28, 332434, 791044, 7.35, 12.71, 5.86
 10/29, 332784, 791870, 7.36, 12.72, 5.87
