address,name,alpha-3,city,logo,country,sub-region
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,CHE,Zug,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Foundation.png,Switzerland,Western Europe
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/VELIC.png,Singapore,South-eastern Asia
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,USA,Detroit,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Ubik Capital.png,United States of America,Northern America
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,FRA,Paris,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONation.png,France,Western Europe
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,JPN,Tokyo,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/RHIZOME.png,Japan,Eastern Asia
hxab751d4e83b6fda412a38cb5f7f96860396b1327,Symmetry SLC,USA,Salt Lake City,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Symmetry SLC.png,United States of America,Northern America
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Hyperconnect.png,"Korea, Republic of",Eastern Asia
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin (POS Bakerz),GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Stakin (POS Bakerz).png,United Kingdom of Great Britain and Northern Ireland,Northern Europe
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Mineable.png,United Kingdom of Great Britain and Northern Ireland,Northern Europe
hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,ICONVIET,VNM,Ho Chi Minh,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONVIET.png,Viet Nam,South-eastern Asia
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,UKR,Kyiv,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Everstake.png,Ukraine,Eastern Europe
hxf75bfd0df8d96ee0963965135af2485cee6d5000,weBloc asia,KOR,Jeju,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/weBloc asia.png,"Korea, Republic of",Eastern Asia
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,AUS,Wollongong,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ReliantNode.png,Australia,Australia and New Zealand
hx5b97bbec2e555289351806103833a465b7fbbd47,Blockmove,CZE,Brno,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Blockmove.png,Czechia,Eastern Europe
hx6f89b2c25c15f6294c79810221753131067ed3f8,Sharpn,FRA,Paris,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Sharpn.png,France,Western Europe
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,iBriz - ICONOsphere,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/iBriz - ICONOsphere.png,United States of America,Northern America
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,NZL,Dunedin,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/PARROT9.png,New Zealand,Australia and New Zealand
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,USA,Las Vegas,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONbet Community.png,United States of America,Northern America
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,block42,AUT,Vienna,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/block42.png,Austria,Western Europe
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON DAO.png,Singapore,South-eastern Asia
hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,Paradigm Citadel,CAN,Montreal,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Paradigm Citadel.png,Canada,Northern America
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Insight,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Insight.png,United States of America,Northern America
hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,Deblock with STAYGE,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Deblock with STAYGE.png,"Korea, Republic of",Eastern Asia
hxa224bb59e9ba930f3919b57feef7656f1139d24b,Catalyst,USA,Puerto Rico,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Catalyst.png,United States of America,Northern America
hxd6f20327d135cb0227230ab98792173a5c97b03e,ICONPLUS,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONPLUS.png,United Kingdom of Great Britain and Northern Ireland,Northern Europe
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,INTERBLOCK,DEU,Munich,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/INTERBLOCK.png,Germany,Western Europe
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/MouseBelt AC3.png,United States of America,Northern America
hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,PHL,Manila,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Icon Pilipinas.png,Philippines,South-eastern Asia
hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,MinerGate,FRA,Paris,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/MinerGate.png,France,Western Europe
hxd2de5d155251ff62bf2f6c2aa616da6472886165,Chainode Tech,CHE,Zug,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Chainode Tech.png,Switzerland,Western Europe
hx55f2cc3244350085734f4e405f761ecf3d2095b3,iCONsolidation,HRV,Zagreb,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/iCONsolidation.png,Croatia,Southern Europe
hx30af89a52479d8ce8ac6682651203750d639a20f,ICONologist,DEU,Kassel,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONologist.png,Germany,Western Europe
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Metanyx.png,United Kingdom of Great Britain and Northern Ireland,Northern Europe
hxfbddc0f1c0ab85e59578de4b883cdcf94ab33694,Bara-Node,ARE,Dubai,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/BaraNode.jpg,United Arab Emirates,Western Asia
hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,Iconoscope,USA,Los Angeles,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Iconoscope.png,United States of America,Northern America
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,SWE,Stockholm,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Sweden.png,Sweden,Northern Europe
hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/The Iconist.png,"Korea, Republic of",Eastern Asia
hx55d5b995fca77274cab59c850803f9ec3e00421f,Orangebloc,USA,Oregon,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Orangebloc.png,United States of America,Northern America
hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,StakingTeam,ITA,Milan,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/StakingTeam.png,Italy,Southern Europe
hx352a4b557e9035f89b237fe85d6bb92f517fdbd7,Hourglass,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Hourglass.png,Singapore,South-eastern Asia
hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,Piconbello { You Pick We Build },GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Piconbello { You Pick We Build }.png,United Kingdom of Great Britain and Northern Ireland,Northern Europe
hx9fa9d224306b0722099d30471b3c2306421aead7,Espanicon,VEN,Caracas,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Espanicon.jpg,Venezuela (Bolivarian Republic of),Latin America and the Caribbean
hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,JPN,Tokyo,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/DEMOS.png,Japan,Eastern Asia
hx2cf560d42b3b505314c526336dad5d1f624bdb1f,Blockchain at Berkeley,USA,Berkeley,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/blockchain_at_berkeley.png,United States of America,Northern America
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONTROL.png,"Korea, Republic of",Eastern Asia
hxc7a057d0cbb75606352ec8cc698267b7247cc100,Cardinal,USA,Virginia,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Cardinals_logo.png,United States of America,Northern America
hxc93a0be07e8a74d9a86d8b12e569b91154681bc8,Signal9,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Signal9.png,"Korea, Republic of",Eastern Asia
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,EST,Tallinn,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Forge.png,Estonia,Northern Europe
hx3ec5c0c906e857de231a7ae16e49ab92c5708699,ICX_Stratos,ZAF,Johannesburg,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Stratos.jpg,South Africa,Sub-Saharan Africa
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,USA,San Jose,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/SilliconValleyIcon.jpg,United States of America,Northern America
hx3571351614f64721081996247e53f6436ed05e55,ICONNECT-Global,KEN,Nairobi,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/iconnect_global.jpg,Kenya,Sub-Saharan Africa
hx9571df0bd727ce18adc177e8fd6bc45f885b3382,Newroad,NLD,Amsterdam,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Newroad.png,Netherlands,Western Europe
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Icon-4-Business,USA,Chattanooga,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Icon-4-Business.png,United States of America,Northern America
hx040b667627bbd02619e89439fab48b053e71c666,ICX Australia,AUS,Adelaide,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX Australia.png,Australia,Australia and New Zealand
hxe886f81684bbecddd69a608093fb88624c94d20a,POCKET / FIGMENT,CAN,Montreal,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/POCKET FIGMENT.png,Canada,Northern America
hx50040d39a04b7bc9197e9784779f07f9a6887811,ICON Labs,USA,Houston,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Labs.png,United States of America,Northern America
hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,USA,Icon,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Spark.png,United States of America,Northern America
hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONSG.png,Singapore,South-eastern Asia
hxdb0266079cb558e14b41ad7125b729c2c96b2d36,Midos,BGR,Varna,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Midos.jpg,Bulgaria,Eastern Europe
hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,Alice,RUS,Moscow,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Alice.png,Russian Federation,Eastern Europe
hx05493cc93caf332f46715411e12c927750d210b6,ICX Malta,MLT,Valletta,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX Malta.png,Malta,Southern Europe
hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,AUS,Melbourne,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Transcranial_Solutions_round.png,Australia,Australia and New Zealand
